Question,Answer,Article_Number,Type,Difficulty,Themes,Keyword,Clause,Theme
Explain clause (3) of Article 276.,"Clause (3) of Article 276 explains: The power of the Legislature of a State to make laws as aforesaid with respect to taxes on professions, trades, callings and employments shall not be construed as limiting in any way the power of Parliament to make laws with respect to taxes on income accruing fro...",276,clause_explanation,advanced,"federal_structure, emergency",,(3),
Which article deals with federal structure in the Indian Constitution?,"Article 276 (Taxes on professions, trades, callings and employments) deals with federal structure.",276,theme_based,intermediate,"federal_structure, emergency",,,federal_structure
Which article deals with emergency in the Indian Constitution?,"Article 276 (Taxes on professions, trades, callings and employments) deals with emergency.",276,theme_based,intermediate,"federal_structure, emergency",,,emergency
What does the Constitution say about professions?,"According to Article 276 (Taxes on professions, trades, callings and employments), 276. Taxes on professions, trades, callings and employments (1) Notwithstanding anything in Article 246, no law of the Legislature of a State relating to taxes for the benefit of the State or of a mun...",276,keyword_search,intermediate,"federal_structure, emergency",professions,,
What does the Constitution say about trades?,"According to Article 276 (Taxes on professions, trades, callings and employments), 276. Taxes on professions, trades, callings and employments (1) Notwithstanding anything in Article 246, no law of the Legislature of a State relating to taxes for the benefit of the State or of a mun...",276,keyword_search,intermediate,"federal_structure, emergency",trades,,
What does the Constitution say about callings?,"According to Article 276 (Taxes on professions, trades, callings and employments), 276. Taxes on professions, trades, callings and employments (1) Notwithstanding anything in Article 246, no law of the Legislature of a State relating to taxes for the benefit of the State or of a mun...",276,keyword_search,intermediate,"federal_structure, emergency",callings,,
What does the Constitution say about employments?,"According to Article 276 (Taxes on professions, trades, callings and employments), 276. Taxes on professions, trades, callings and employments (1) Notwithstanding anything in Article 246, no law of the Legislature of a State relating to taxes for the benefit of the State or of a mun...",276,keyword_search,intermediate,"federal_structure, emergency",employments,,
What does the Constitution say about taxes?,"According to Article 276 (Taxes on professions, trades, callings and employments), 276. Taxes on professions, trades, callings and employments (1) Notwithstanding anything in Article 246, no law of the Legislature of a State relating to taxes for the benefit of the State or of a mun...",276,keyword_search,intermediate,"federal_structure, emergency",taxes,,
What is Article 277 of the Indian Constitution?,"Article 277 is titled 'Savings Any taxes, duties, cesses or fees which, immediately before the commencement of this Constitution, were being lawfully levied by the Governmen'. 277. Savings Any taxes, duties, cesses or fees which, immediately before the commencement of this Constitution, were being l...",277,overview,basic,federal_structure,,,
What is the title of Article 277?,"Savings Any taxes, duties, cesses or fees which, immediately before the commencement of this Constitution, were being lawfully levied by the Governmen",277,title,basic,federal_structure,,,
Explain Article 277 in detail.,"Article 277 (Savings Any taxes, duties, cesses or fees which, immediately before the commencement of this Constitution, were being lawfully levied by the Governmen) states: 277. Savings Any taxes, duties, cesses or fees which, immediately before the commencement of this Constitution, were being lawf...",277,detailed_explanation,intermediate,federal_structure,,,
Which article deals with federal structure in the Indian Constitution?,"Article 277 (Savings Any taxes, duties, cesses or fees which, immediately before the commencement of this Constitution, were being lawfully levied by the Governmen) deals with federal structure.",277,theme_based,intermediate,federal_structure,,,federal_structure
What does the Constitution say about taxes?,"According to Article 277 (Savings Any taxes, duties, cesses or fees which, immediately before the commencement of this Constitution, were being lawfully levied by the Governmen), 277. Savings Any taxes, duties, cesses or fees which, immediately before the commencement of this Constitution, were bein...",277,keyword_search,intermediate,federal_structure,taxes,,
What does the Constitution say about duties?,"According to Article 277 (Savings Any taxes, duties, cesses or fees which, immediately before the commencement of this Constitution, were being lawfully levied by the Governmen), 277. Savings Any taxes, duties, cesses or fees which, immediately before the commencement of this Constitution, were bein...",277,keyword_search,intermediate,federal_structure,duties,,
What does the Constitution say about cesses?,"According to Article 277 (Savings Any taxes, duties, cesses or fees which, immediately before the commencement of this Constitution, were being lawfully levied by the Governmen), 277. Savings Any taxes, duties, cesses or fees which, immediately before the commencement of this Constitution, were bein...",277,keyword_search,intermediate,federal_structure,cesses,,
What does the Constitution say about fees?,"According to Article 277 (Savings Any taxes, duties, cesses or fees which, immediately before the commencement of this Constitution, were being lawfully levied by the Governmen), 277. Savings Any taxes, duties, cesses or fees which, immediately before the commencement of this Constitution, were bein...",277,keyword_search,intermediate,federal_structure,fees,,
What does the Constitution say about levied?,"According to Article 277 (Savings Any taxes, duties, cesses or fees which, immediately before the commencement of this Constitution, were being lawfully levied by the Governmen), 277. Savings Any taxes, duties, cesses or fees which, immediately before the commencement of this Constitution, were bein...",277,keyword_search,intermediate,federal_structure,levied,,
What is Article 278 of the Indian Constitution?,Article 278 is titled 'Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution'. 278. Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution (Seventh Amendment) Ac...,278,overview,basic,"federal_structure, amendment, emergency",,,
What is the title of Article 278?,Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution,278,title,basic,"federal_structure, amendment, emergency",,,
Explain Article 278 in detail.,"Article 278 (Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution) states: 278. Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution (Seventh Amendment) Act, ...",278,detailed_explanation,intermediate,"federal_structure, amendment, emergency",,,
Which article deals with federal structure in the Indian Constitution?,Article 278 (Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution) deals with federal structure.,278,theme_based,intermediate,"federal_structure, amendment, emergency",,,federal_structure
Which article deals with amendment in the Indian Constitution?,Article 278 (Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution) deals with amendment.,278,theme_based,intermediate,"federal_structure, amendment, emergency",,,amendment
Which article deals with emergency in the Indian Constitution?,Article 278 (Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution) deals with emergency.,278,theme_based,intermediate,"federal_structure, amendment, emergency",,,emergency
What does the Constitution say about schedule?,"According to Article 278 (Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution), 278. Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution (Seventh Amendment)...",278,keyword_search,intermediate,"federal_structure, amendment, emergency",schedule,,
What does the Constitution say about agreement?,"According to Article 278 (Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution), 278. Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution (Seventh Amendment)...",278,keyword_search,intermediate,"federal_structure, amendment, emergency",agreement,,
What does the Constitution say about part?,"According to Article 278 (Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution), 278. Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution (Seventh Amendment)...",278,keyword_search,intermediate,"federal_structure, amendment, emergency",part,,
What does the Constitution say about first?,"According to Article 278 (Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution), 278. Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution (Seventh Amendment)...",278,keyword_search,intermediate,"federal_structure, amendment, emergency",first,,
What does the Constitution say about regard?,"According to Article 278 (Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution), 278. Agreement with States in Part B of the First Schedule with regard to certain financial matters Replaced by the Constitution (Seventh Amendment)...",278,keyword_search,intermediate,"federal_structure, amendment, emergency",regard,,
What is Article 279 of the Indian Constitution?,"Article 279 is titled 'Calculation of net proceeds, etc'. 279. Calculation of net proceeds, etc (1) In the foregoing provisions of this Chapter, net proceeds means in relation to any tax or duty the proceeds thereof reduced by the cost of collection, and for the purposes of those provisions the net ...",279,overview,basic,"federal_structure, governance, emergency",,,
What is the title of Article 279?,"Calculation of net proceeds, etc",279,title,basic,"federal_structure, governance, emergency",,,
Explain Article 279 in detail.,"Article 279 (Calculation of net proceeds, etc) states: 279. Calculation of net proceeds, etc (1) In the foregoing provisions of this Chapter, net proceeds means in relation to any tax or duty the proceeds thereof reduced by the cost of collection, and for the purposes of those provisions the net pro...",279,detailed_explanation,intermediate,"federal_structure, governance, emergency",,,
What does clause (2) of Article 279 state?,"Subject as aforesaid, and to any other express provision of this Chapter, a law made by Parliament or an order of the President may, in any case where under this Part the proceeds of any duty or tax are, or may be, assigned to any State, provide for the manner in which the proceeds are to be calcula...",279,clause_specific,intermediate,"federal_structure, governance, emergency",,(2),
Explain clause (2) of Article 279.,"Clause (2) of Article 279 explains: Subject as aforesaid, and to any other express provision of this Chapter, a law made by Parliament or an order of the President may, in any case where under this Part the proceeds of any duty or tax are, or may be, assigned to any State, provide for the manner in ...",279,clause_explanation,advanced,"federal_structure, governance, emergency",,(2),
Which article deals with federal structure in the Indian Constitution?,"Article 279 (Calculation of net proceeds, etc) deals with federal structure.",279,theme_based,intermediate,"federal_structure, governance, emergency",,,federal_structure
Which article deals with governance in the Indian Constitution?,"Article 279 (Calculation of net proceeds, etc) deals with governance.",279,theme_based,intermediate,"federal_structure, governance, emergency",,,governance
Which article deals with emergency in the Indian Constitution?,"Article 279 (Calculation of net proceeds, etc) deals with emergency.",279,theme_based,intermediate,"federal_structure, governance, emergency",,,emergency
What does the Constitution say about proceeds?,"According to Article 279 (Calculation of net proceeds, etc), 279. Calculation of net proceeds, etc (1) In the foregoing provisions of this Chapter, net proceeds means in relation to any tax or duty the proceeds thereof reduced by the cost of collection, and for...",279,keyword_search,intermediate,"federal_structure, governance, emergency",proceeds,,
What does the Constitution say about duty?,"According to Article 279 (Calculation of net proceeds, etc), 279. Calculation of net proceeds, etc (1) In the foregoing provisions of this Chapter, net proceeds means in relation to any tax or duty the proceeds thereof reduced by the cost of collection, and for...",279,keyword_search,intermediate,"federal_structure, governance, emergency",duty,,
What does the Constitution say about provisions?,"According to Article 279 (Calculation of net proceeds, etc), 279. Calculation of net proceeds, etc (1) In the foregoing provisions of this Chapter, net proceeds means in relation to any tax or duty the proceeds thereof reduced by the cost of collection, and for...",279,keyword_search,intermediate,"federal_structure, governance, emergency",provisions,,
What does the Constitution say about chapter?,"According to Article 279 (Calculation of net proceeds, etc), 279. Calculation of net proceeds, etc (1) In the foregoing provisions of this Chapter, net proceeds means in relation to any tax or duty the proceeds thereof reduced by the cost of collection, and for...",279,keyword_search,intermediate,"federal_structure, governance, emergency",chapter,,
What does the Constitution say about part?,"According to Article 279 (Calculation of net proceeds, etc), 279. Calculation of net proceeds, etc (1) In the foregoing provisions of this Chapter, net proceeds means in relation to any tax or duty the proceeds thereof reduced by the cost of collection, and for...",279,keyword_search,intermediate,"federal_structure, governance, emergency",part,,
What is Article 280 of the Indian Constitution?,"Article 280 is titled 'Finance Commission'. 280. Finance Commission (1) The President shall, within two years from the commencement of this Constitution and thereafter at the expiration of every fifth year or at such earlier time as the President considers necessary, by order constitute a Finance Co...",280,overview,basic,"directive_principles, federal_structure, governance",,,
What is the title of Article 280?,Finance Commission,280,title,basic,"directive_principles, federal_structure, governance",,,
Explain Article 280 in detail.,"Article 280 (Finance Commission) states: 280. Finance Commission (1) The President shall, within two years from the commencement of this Constitution and thereafter at the expiration of every fifth year or at such earlier time as the President considers necessary, by order constitute a Finance Commi...",280,detailed_explanation,intermediate,"directive_principles, federal_structure, governance",,,
What does clause (4) of Article 280 state?,The Commission shall determine their procedure and shall have such powers in the performance of their functions as Parliament may by law confer on them,280,clause_specific,intermediate,"directive_principles, federal_structure, governance",,(4),
Explain clause (4) of Article 280.,Clause (4) of Article 280 explains: The Commission shall determine their procedure and shall have such powers in the performance of their functions as Parliament may by law confer on them,280,clause_explanation,advanced,"directive_principles, federal_structure, governance",,(4),
What does clause (a) of Article 280 state?,"the distribution between the Union and the States of the net proceeds of taxes which are to be, or may be, divided between them under this Chapter and the allocation between the States of the respective shares of such proceeds;",280,clause_specific,intermediate,"directive_principles, federal_structure, governance",,(a),
Explain clause (a) of Article 280.,"Clause (a) of Article 280 explains: the distribution between the Union and the States of the net proceeds of taxes which are to be, or may be, divided between them under this Chapter and the allocation between the States of the respective shares of such proceeds;",280,clause_explanation,advanced,"directive_principles, federal_structure, governance",,(a),
What does clause (b) of Article 280 state?,the principles which should govern the grants in aid of the revenues of the States out of the Consolidated Fund of India;,280,clause_specific,intermediate,"directive_principles, federal_structure, governance",,(b),
Explain clause (b) of Article 280.,Clause (b) of Article 280 explains: the principles which should govern the grants in aid of the revenues of the States out of the Consolidated Fund of India;,280,clause_explanation,advanced,"directive_principles, federal_structure, governance",,(b),
Which article deals with directive principles in the Indian Constitution?,Article 280 (Finance Commission) deals with directive principles.,280,theme_based,intermediate,"directive_principles, federal_structure, governance",,,directive_principles
Which article deals with federal structure in the Indian Constitution?,Article 280 (Finance Commission) deals with federal structure.,280,theme_based,intermediate,"directive_principles, federal_structure, governance",,,federal_structure
Which article deals with governance in the Indian Constitution?,Article 280 (Finance Commission) deals with governance.,280,theme_based,intermediate,"directive_principles, federal_structure, governance",,,governance
What does the Constitution say about commission?,"According to Article 280 (Finance Commission), 280. Finance Commission (1) The President shall, within two years from the commencement of this Constitution and thereafter at the expiration of every fifth year or at such earlier time as the Preside...",280,keyword_search,intermediate,"directive_principles, federal_structure, governance",commission,,
What does the Constitution say about president?,"According to Article 280 (Finance Commission), 280. Finance Commission (1) The President shall, within two years from the commencement of this Constitution and thereafter at the expiration of every fifth year or at such earlier time as the Preside...",280,keyword_search,intermediate,"directive_principles, federal_structure, governance",president,,
What does the Constitution say about finance?,"According to Article 280 (Finance Commission), 280. Finance Commission (1) The President shall, within two years from the commencement of this Constitution and thereafter at the expiration of every fifth year or at such earlier time as the Preside...",280,keyword_search,intermediate,"directive_principles, federal_structure, governance",finance,,
What does the Constitution say about between?,"According to Article 280 (Finance Commission), 280. Finance Commission (1) The President shall, within two years from the commencement of this Constitution and thereafter at the expiration of every fifth year or at such earlier time as the Preside...",280,keyword_search,intermediate,"directive_principles, federal_structure, governance",between,,
What does the Constitution say about other?,"According to Article 280 (Finance Commission), 280. Finance Commission (1) The President shall, within two years from the commencement of this Constitution and thereafter at the expiration of every fifth year or at such earlier time as the Preside...",280,keyword_search,intermediate,"directive_principles, federal_structure, governance",other,,
What is Article 281 of the Indian Constitution?,Article 281 is titled 'Recommendations of the Finance Commission The President shall cause every recommendation made by the Finance Commission under the provisions of this C'. 281. Recommendations of the Finance Commission The President shall cause every recommendation made by the Finance Commission...,281,overview,basic,"governance, emergency",,,
What is the title of Article 281?,Recommendations of the Finance Commission The President shall cause every recommendation made by the Finance Commission under the provisions of this C,281,title,basic,"governance, emergency",,,
Explain Article 281 in detail.,Article 281 (Recommendations of the Finance Commission The President shall cause every recommendation made by the Finance Commission under the provisions of this C) states: 281. Recommendations of the Finance Commission The President shall cause every recommendation made by the Finance Commission un...,281,detailed_explanation,intermediate,"governance, emergency",,,
Which article deals with governance in the Indian Constitution?,Article 281 (Recommendations of the Finance Commission The President shall cause every recommendation made by the Finance Commission under the provisions of this C) deals with governance.,281,theme_based,intermediate,"governance, emergency",,,governance
Which article deals with emergency in the Indian Constitution?,Article 281 (Recommendations of the Finance Commission The President shall cause every recommendation made by the Finance Commission under the provisions of this C) deals with emergency.,281,theme_based,intermediate,"governance, emergency",,,emergency
What does the Constitution say about finance?,"According to Article 281 (Recommendations of the Finance Commission The President shall cause every recommendation made by the Finance Commission under the provisions of this C), 281. Recommendations of the Finance Commission The President shall cause every recommendation made by the Finance Commiss...",281,keyword_search,intermediate,"governance, emergency",finance,,
What does the Constitution say about commission?,"According to Article 281 (Recommendations of the Finance Commission The President shall cause every recommendation made by the Finance Commission under the provisions of this C), 281. Recommendations of the Finance Commission The President shall cause every recommendation made by the Finance Commiss...",281,keyword_search,intermediate,"governance, emergency",commission,,
What does the Constitution say about provisions?,"According to Article 281 (Recommendations of the Finance Commission The President shall cause every recommendation made by the Finance Commission under the provisions of this C), 281. Recommendations of the Finance Commission The President shall cause every recommendation made by the Finance Commiss...",281,keyword_search,intermediate,"governance, emergency",provisions,,
What does the Constitution say about recommendations?,"According to Article 281 (Recommendations of the Finance Commission The President shall cause every recommendation made by the Finance Commission under the provisions of this C), 281. Recommendations of the Finance Commission The President shall cause every recommendation made by the Finance Commiss...",281,keyword_search,intermediate,"governance, emergency",recommendations,,
What does the Constitution say about president?,"According to Article 281 (Recommendations of the Finance Commission The President shall cause every recommendation made by the Finance Commission under the provisions of this C), 281. Recommendations of the Finance Commission The President shall cause every recommendation made by the Finance Commiss...",281,keyword_search,intermediate,"governance, emergency",president,,
What is Article 282 of the Indian Constitution?,"Article 282 is titled 'Expenditure defrayable by the Union or a State out of its revenues The Union or a'. 282. Expenditure defrayable by the Union or a State out of its revenues The Union or a State may make any grants for any public purpose, notwithstanding that the purpose is not one with respect...",282,overview,basic,federal_structure,,,
What is the title of Article 282?,Expenditure defrayable by the Union or a State out of its revenues The Union or a,282,title,basic,federal_structure,,,
Explain Article 282 in detail.,"Article 282 (Expenditure defrayable by the Union or a State out of its revenues The Union or a) states: 282. Expenditure defrayable by the Union or a State out of its revenues The Union or a State may make any grants for any public purpose, notwithstanding that the purpose is not one with respect to...",282,detailed_explanation,intermediate,federal_structure,,,
Which article deals with federal structure in the Indian Constitution?,Article 282 (Expenditure defrayable by the Union or a State out of its revenues The Union or a) deals with federal structure.,282,theme_based,intermediate,federal_structure,,,federal_structure
What does the Constitution say about make?,"According to Article 282 (Expenditure defrayable by the Union or a State out of its revenues The Union or a), 282. Expenditure defrayable by the Union or a State out of its revenues The Union or a State may make any grants for any public purpose, notwithstanding that the purpose is not one with resp...",282,keyword_search,intermediate,federal_structure,make,,
What does the Constitution say about purpose?,"According to Article 282 (Expenditure defrayable by the Union or a State out of its revenues The Union or a), 282. Expenditure defrayable by the Union or a State out of its revenues The Union or a State may make any grants for any public purpose, notwithstanding that the purpose is not one with resp...",282,keyword_search,intermediate,federal_structure,purpose,,
What does the Constitution say about expenditure?,"According to Article 282 (Expenditure defrayable by the Union or a State out of its revenues The Union or a), 282. Expenditure defrayable by the Union or a State out of its revenues The Union or a State may make any grants for any public purpose, notwithstanding that the purpose is not one with resp...",282,keyword_search,intermediate,federal_structure,expenditure,,
What does the Constitution say about defrayable?,"According to Article 282 (Expenditure defrayable by the Union or a State out of its revenues The Union or a), 282. Expenditure defrayable by the Union or a State out of its revenues The Union or a State may make any grants for any public purpose, notwithstanding that the purpose is not one with resp...",282,keyword_search,intermediate,federal_structure,defrayable,,
What does the Constitution say about revenues?,"According to Article 282 (Expenditure defrayable by the Union or a State out of its revenues The Union or a), 282. Expenditure defrayable by the Union or a State out of its revenues The Union or a State may make any grants for any public purpose, notwithstanding that the purpose is not one with resp...",282,keyword_search,intermediate,federal_structure,revenues,,
What is Article 283 of the Indian Constitution?,"Article 283 is titled 'Custody, etc of Consolidated Funds, Contingency Funds and moneys credited to the public accounts'. 283. Custody, etc of Consolidated Funds, Contingency Funds and moneys credited to the public accounts (1) The custody of the Consolidated Fund of India and the Contingency Fund o...",283,overview,basic,"federal_structure, governance",,,
What is the title of Article 283?,"Custody, etc of Consolidated Funds, Contingency Funds and moneys credited to the public accounts",283,title,basic,"federal_structure, governance",,,
Explain Article 283 in detail.,"Article 283 (Custody, etc of Consolidated Funds, Contingency Funds and moneys credited to the public accounts) states: 283. Custody, etc of Consolidated Funds, Contingency Funds and moneys credited to the public accounts (1) The custody of the Consolidated Fund of India and the Contingency Fund of I...",283,detailed_explanation,intermediate,"federal_structure, governance",,,
What does clause (2) of Article 283 state?,"The custody of the Consolidated Fund of a State and the Contingency Fund of a State, the payment of moneys into such Funds, the withdrawal of moneys therefrom, the custody of public moneys other than those credited to such Funds, received by or on behalf of the Government of the State, their payment...",283,clause_specific,intermediate,"federal_structure, governance",,(2),
Explain clause (2) of Article 283.,"Clause (2) of Article 283 explains: The custody of the Consolidated Fund of a State and the Contingency Fund of a State, the payment of moneys into such Funds, the withdrawal of moneys therefrom, the custody of public moneys other than those credited to such Funds, received by or on behalf of the Go...",283,clause_explanation,advanced,"federal_structure, governance",,(2),
Which article deals with federal structure in the Indian Constitution?,"Article 283 (Custody, etc of Consolidated Funds, Contingency Funds and moneys credited to the public accounts) deals with federal structure.",283,theme_based,intermediate,"federal_structure, governance",,,federal_structure
Which article deals with governance in the Indian Constitution?,"Article 283 (Custody, etc of Consolidated Funds, Contingency Funds and moneys credited to the public accounts) deals with governance.",283,theme_based,intermediate,"federal_structure, governance",,,governance
What does the Constitution say about moneys?,"According to Article 283 (Custody, etc of Consolidated Funds, Contingency Funds and moneys credited to the public accounts), 283. Custody, etc of Consolidated Funds, Contingency Funds and moneys credited to the public accounts (1) The custody of the Consolidated Fund of India and the Contingency Fun...",283,keyword_search,intermediate,"federal_structure, governance",moneys,,
What does the Constitution say about funds?,"According to Article 283 (Custody, etc of Consolidated Funds, Contingency Funds and moneys credited to the public accounts), 283. Custody, etc of Consolidated Funds, Contingency Funds and moneys credited to the public accounts (1) The custody of the Consolidated Fund of India and the Contingency Fun...",283,keyword_search,intermediate,"federal_structure, governance",funds,,
What does the Constitution say about made?,"According to Article 283 (Custody, etc of Consolidated Funds, Contingency Funds and moneys credited to the public accounts), 283. Custody, etc of Consolidated Funds, Contingency Funds and moneys credited to the public accounts (1) The custody of the Consolidated Fund of India and the Contingency Fun...",283,keyword_search,intermediate,"federal_structure, governance",made,,
What does the Constitution say about custody?,"According to Article 283 (Custody, etc of Consolidated Funds, Contingency Funds and moneys credited to the public accounts), 283. Custody, etc of Consolidated Funds, Contingency Funds and moneys credited to the public accounts (1) The custody of the Consolidated Fund of India and the Contingency Fun...",283,keyword_search,intermediate,"federal_structure, governance",custody,,
What does the Constitution say about public?,"According to Article 283 (Custody, etc of Consolidated Funds, Contingency Funds and moneys credited to the public accounts), 283. Custody, etc of Consolidated Funds, Contingency Funds and moneys credited to the public accounts (1) The custody of the Consolidated Fund of India and the Contingency Fun...",283,keyword_search,intermediate,"federal_structure, governance",public,,
What is Article 284 of the Indian Constitution?,Article 284 is titled 'Custody of suitors deposits and other moneys received by public servants an courts All moneys received by or deposited with'. 284. Custody of suitors deposits and other moneys received by public servants an courts All moneys received by or deposited with (a) any officer employ...,284,overview,basic,federal_structure,,,
What is the title of Article 284?,Custody of suitors deposits and other moneys received by public servants an courts All moneys received by or deposited with,284,title,basic,federal_structure,,,
Explain Article 284 in detail.,Article 284 (Custody of suitors deposits and other moneys received by public servants an courts All moneys received by or deposited with) states: 284. Custody of suitors deposits and other moneys received by public servants an courts All moneys received by or deposited with (a) any officer employed ...,284,detailed_explanation,intermediate,federal_structure,,,
What does clause (b) of Article 284 state?,"any court within the territory of India to the credit of any cause, matter, account or persons, shall be paid into the public account of India or the public account of the State, as the case may be",284,clause_specific,intermediate,federal_structure,,(b),
Explain clause (b) of Article 284.,"Clause (b) of Article 284 explains: any court within the territory of India to the credit of any cause, matter, account or persons, shall be paid into the public account of India or the public account of the State, as the case may be",284,clause_explanation,advanced,federal_structure,,(b),
Which article deals with federal structure in the Indian Constitution?,Article 284 (Custody of suitors deposits and other moneys received by public servants an courts All moneys received by or deposited with) deals with federal structure.,284,theme_based,intermediate,federal_structure,,,federal_structure
What does the Constitution say about public?,"According to Article 284 (Custody of suitors deposits and other moneys received by public servants an courts All moneys received by or deposited with), 284. Custody of suitors deposits and other moneys received by public servants an courts All moneys received by or deposited with (a) any officer emp...",284,keyword_search,intermediate,federal_structure,public,,
What does the Constitution say about moneys?,"According to Article 284 (Custody of suitors deposits and other moneys received by public servants an courts All moneys received by or deposited with), 284. Custody of suitors deposits and other moneys received by public servants an courts All moneys received by or deposited with (a) any officer emp...",284,keyword_search,intermediate,federal_structure,moneys,,
What does the Constitution say about received?,"According to Article 284 (Custody of suitors deposits and other moneys received by public servants an courts All moneys received by or deposited with), 284. Custody of suitors deposits and other moneys received by public servants an courts All moneys received by or deposited with (a) any officer emp...",284,keyword_search,intermediate,federal_structure,received,,
What does the Constitution say about india?,"According to Article 284 (Custody of suitors deposits and other moneys received by public servants an courts All moneys received by or deposited with), 284. Custody of suitors deposits and other moneys received by public servants an courts All moneys received by or deposited with (a) any officer emp...",284,keyword_search,intermediate,federal_structure,india,,
What does the Constitution say about account?,"According to Article 284 (Custody of suitors deposits and other moneys received by public servants an courts All moneys received by or deposited with), 284. Custody of suitors deposits and other moneys received by public servants an courts All moneys received by or deposited with (a) any officer emp...",284,keyword_search,intermediate,federal_structure,account,,
What is Article 285 of the Indian Constitution?,"Article 285 is titled 'Exemption of property of the Union from State taxation'. 285. Exemption of property of the Union from State taxation (1) The property of the Union shall, save in so far as Parliament may by law otherwise provide, be exempt from all taxes imposed by a State or by any authority ...",285,overview,basic,federal_structure,,,
What is the title of Article 285?,Exemption of property of the Union from State taxation,285,title,basic,federal_structure,,,
Explain Article 285 in detail.,"Article 285 (Exemption of property of the Union from State taxation) states: 285. Exemption of property of the Union from State taxation (1) The property of the Union shall, save in so far as Parliament may by law otherwise provide, be exempt from all taxes imposed by a State or by any authority wit...",285,detailed_explanation,intermediate,federal_structure,,,
Which article deals with federal structure in the Indian Constitution?,Article 285 (Exemption of property of the Union from State taxation) deals with federal structure.,285,theme_based,intermediate,federal_structure,,,federal_structure
What does the Constitution say about property?,"According to Article 285 (Exemption of property of the Union from State taxation), 285. Exemption of property of the Union from State taxation (1) The property of the Union shall, save in so far as Parliament may by law otherwise provide, be exempt from all taxes imposed by a State ...",285,keyword_search,intermediate,federal_structure,property,,
What does the Constitution say about otherwise?,"According to Article 285 (Exemption of property of the Union from State taxation), 285. Exemption of property of the Union from State taxation (1) The property of the Union shall, save in so far as Parliament may by law otherwise provide, be exempt from all taxes imposed by a State ...",285,keyword_search,intermediate,federal_structure,otherwise,,
What does the Constitution say about authority?,"According to Article 285 (Exemption of property of the Union from State taxation), 285. Exemption of property of the Union from State taxation (1) The property of the Union shall, save in so far as Parliament may by law otherwise provide, be exempt from all taxes imposed by a State ...",285,keyword_search,intermediate,federal_structure,authority,,
What does the Constitution say about within?,"According to Article 285 (Exemption of property of the Union from State taxation), 285. Exemption of property of the Union from State taxation (1) The property of the Union shall, save in so far as Parliament may by law otherwise provide, be exempt from all taxes imposed by a State ...",285,keyword_search,intermediate,federal_structure,within,,
What does the Constitution say about liable?,"According to Article 285 (Exemption of property of the Union from State taxation), 285. Exemption of property of the Union from State taxation (1) The property of the Union shall, save in so far as Parliament may by law otherwise provide, be exempt from all taxes imposed by a State ...",285,keyword_search,intermediate,federal_structure,liable,,
What is Article 286 of the Indian Constitution?,"Article 286 is titled 'Restrictions as to imposition of tax on the sale or purchase of goods'. 286. Restrictions as to imposition of tax on the sale or purchase of goods (1) No law of a State shall impose, or authorise the imposition of, a tax on the sale or purchase of goods where such sale or purc...",286,overview,basic,"directive_principles, federal_structure",,,
What is the title of Article 286?,Restrictions as to imposition of tax on the sale or purchase of goods,286,title,basic,"directive_principles, federal_structure",,,
Explain Article 286 in detail.,"Article 286 (Restrictions as to imposition of tax on the sale or purchase of goods) states: 286. Restrictions as to imposition of tax on the sale or purchase of goods (1) No law of a State shall impose, or authorise the imposition of, a tax on the sale or purchase of goods where such sale or purchas...",286,detailed_explanation,intermediate,"directive_principles, federal_structure",,,
What does clause (a) of Article 286 state?,a tax on the sale or purchase of goods declared by Parliament by law to be of special importance in inter State trade or commerce; or,286,clause_specific,intermediate,"directive_principles, federal_structure",,(a),
Explain clause (a) of Article 286.,Clause (a) of Article 286 explains: a tax on the sale or purchase of goods declared by Parliament by law to be of special importance in inter State trade or commerce; or,286,clause_explanation,advanced,"directive_principles, federal_structure",,(a),
What does clause (b) of Article 286 state?,"a tax on the sale or purchase of goods, being a tax of the nature referred to in sub clause",286,clause_specific,intermediate,"directive_principles, federal_structure",,(b),
Explain clause (b) of Article 286.,"Clause (b) of Article 286 explains: a tax on the sale or purchase of goods, being a tax of the nature referred to in sub clause",286,clause_explanation,advanced,"directive_principles, federal_structure",,(b),
